name,object_recognition,dof_6,dof_3,room_scene_tracking,light_projection,image_tracking,facial_recognition,location_tracking,cross_compatibility,hand_tracking,picture_taking,video_recording,audio_calling,video_streaming,telepresence,body_recognition,plane_detection,depth_sensing,lighting_estimation,voice_recognition,hand_controls,eye_tracking,cloud_spatial_anchor,show_2d_content,show_3d_content,extended_tracking
Aryzon AR Headset,yes. mobile phone camera + arcore/arkit,yes.,yes. ,yes. arcore/arkit,no.,yes. arcore/arkit,yes. arcore/arkit,yes. arcore/arkit,yes. ios and android,no.,yes. arcore/arkit,yes. arcore/arkit,yes. arkit,yes. arkit,no.,yes. arcore/arkit,yes.,yes.,yes. arcore/arkit,no.,yes. phone,no.,yes. arcore/arkit,yes.,yes.,yes. arcore/arkit
Mira Prism,no. ,possible. If using Wikitude SDK + attach to advanced phones,yes. Using Phone IMU,no.,no.,no. ,no. ,yes. arkit,no. iphone 7 and 8,no. ,yes.,yes.,no.,yes.,no.,no. ,no. ,no. ,no. ,no. ,no.,yes.,no.,yes.,no.,no.
Realmax Qian,no. ,yes.,yes.,no.,no.,no.,no. ,yes. ,no.,possible. addon leap motion,yes.,yes.,no.,no.,no.,no.,yes.,no.,yes.,no.,no.,no.,no.,yes.,yes.,no.
ANTVR Mix,no. ,no.,yes. (two 3DoF controllors),no.,no.,no.,no. ,yes. ,no.,possible. addon leap motion,yes.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,no.,yes.,yes.,yes.
Shadow Creator Action One,no. ,yes.,yes.,no.,no.,no.,no. ,yes. ,no.,yes. limited,yes.,yes.,no.,no.,no.,no.,yes.,no.,yes.,yes.,no.,no.,no.,yes.,yes.,no.
Google Glass Enterprise Edition 2,yes. support for computer vision and advanced machine learning capabilities so developer might be able to develop this capabilities. for more details please contact Google,"yes. Single 6-axis Accel/Gyro, single 3-axis Mag","yes. Single 6-axis Accel/Gyro, single 3-axis Mag",yes.,no.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes. Multi-touch gesture touchpad,yes.,yes. but not sure through cloud. Support for users collaborating in real time,yes.,yes.,yes.
Everysight Raptor,no.,no.,no.,no.,no.,no.,no.,yes. Headset has internal GPS,no.,no.,yes.,yes.,no.,no.,no.,no.,no.,no.,no.,yes.,yes. Multi-Touch pad for use with or without gloves,no.,no.,yes.,no.,no.
Toshiba DynaEdge AR100,no.,no.,yes.,no.,no.,no.,no.,yes.,no.,no.,yes.,yes.,yes.,yes. (resolution is not high),no.,no.,no.,no.,"yes. (Built-in Ambient Light Sensor (ALS) to sense the amount of ambient light present, and appropriately dim the device's screen to match it)",yes.,yes. Touch pad + controller(the computing unit itself),no.,no.,yes. (one can pull up docs like pdf for side assistance),no.,no.
Varjo XR1,no.,yes.,no.,yes.,no.,no.,no.,no.,yes.,no.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,no.,yes. Uses HTV Vive or SteamVR controllers,yes.,yes.,yes.,yes.,yes.
Lightform,no. w/ spatial mapping,yes. from the users' perspective.,yes. from the users' perspective.,yes. no real-time tracking (60s delay),yes.,no.,no.,no.,yes. can work with most projectors,no.,yes.,yes.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,no.,no.
Bose Frames Alto Rondo,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.
Zungle Viper,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.
Vue Glasses,no.,no.,no.,no.,no.,no.,no.,no.,no.Search results from Assistant,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.
Echo Frames,no.,no.,no.,no.,no.,no.,no.,no.,no.Search results from Assistant,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.
Tactsuit,no.,no.,no.,no.,no.,no.,no.,no.,no.Mutliple OS but not web,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
Vest Pro Strap,no.,no.,no.,no.,no.,no.,no.,no.,no.Mutliple OS but not web,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
